佗,0,['tuó']
佘,0,['shé']
余,0,['yú']
佚,0,['yì']
佛,4,['fú']
作,19,['zuò']
佝,0,['gōu']
佞,0,['nìng']
佟,0,['tóng']
你,290,['nǐ']
佣,0,['yōng']
佤,0,['wǎ']
佥,0,['qiān']
佧,0,['kǎ']
佩,0,['pèi']
佬,0,['lǎo']
佯,0,['yáng']
佰,0,['bǎi']
佳,0,['jiā']
佴,0,['èr']
併,0,['bìng']
佶,0,['jí']
佻,0,['tiāo']
佼,0,['jiǎo']
佽,0,['cì']
佾,0,['yì']
使,1,['shǐ']
侃,0,['kǎn']
侄,0,['zhí']
來,0,['lái']
侈,0,['chǐ']
侉,0,['kuǎ']
例,0,['lì']
侌,0,['yīn']
侍,0,['shì']
侏,0,['zhū']
侑,0,['yòu']
侔,0,['móu']
侖,0,['lún']
侗,0,['dòng']
供,0,['gōng']
依,0,['yī']
侠,0,['xiá']
侣,0,['lǚ']
侥,0,['jiǎo']
侦,0,['zhēn']
侧,0,['cè']
侨,0,['qiáo']
侩,0,['kuài']
侪,0,['chái']
侬,0,['nóng']
侮,0,['wǔ']
侯,0,['hóu']
侵,0,['qīn']
侶,0,['lǚ']
侷,0,['jú']
便,4,['biàn']
係,0,['xì']
促,0,['cù']
俄,3,['é']
俅,0,['qiú']
俉,0,['wǔ']
俊,0,['jùn']
俎,0,['zǔ']
俏,0,['qiào']
俐,0,['lì']
俑,0,['yǒng']
俗,0,['sú']
俘,0,['fú']
俚,0,['lǐ']
俛,0,['fǔ']
俜,0,['pīng']
保,18,['bǎo']
俞,0,['yú']
俟,0,['qí']
俠,0,['xiá']
信,6,['xìn']
俣,0,['yǔ']
俦,0,['chóu']
俨,0,['yǎn']
俩,0,['liǎ']
俪,0,['lì']
俭,0,['jiǎn']
修,2,['xiū']
俯,0,['fǔ']
俱,0,['jù']
俳,0,['pái']
俸,0,['fèng']
俺,0,['ǎn']
俾,0,['bǐ']
倀,0,['chāng']
倆,0,['liǎ']
倉,0,['cāng']
個,0,['gè']
倌,0,['guān']
倍,0,['bèi']
倏,0,['shū']
們,0,['men']
倒,6,['dào']
倔,0,['jué']
倖,0,['xìng']
倘,0,['tǎng']
候,21,['hòu']
倚,0,['yǐ']
倜,0,['tì']
倝,0,['gàn']
倞,0,['jìng']
借,3,['jiè']
倠,0,['suī']
倡,0,['chàng']
倥,0,['kōng']
倦,0,['juàn']
倨,0,['jù']
倩,0,['qiàn']
倪,0,['ní']
倫,0,['lún']
倬,0,['zhuō']
倭,0,['wō']
倮,0,['luǒ']
债,2,['zhài']
倻,0,['yē']
值,2,['zhí']
倾,0,['qīng']
偃,0,['yǎn']
假,3,['jiǎ']
偈,0,['jì']
偉,0,['wěi']
偌,0,['ruò']
偎,0,['wēi']
偏,0,['piān']
偕,0,['xié']
做,18,['zuò']
停,3,['tíng']
健,2,['jiàn']
偬,0,['zǒng']
側,0,['cè']
偵,0,['zhēn']
偶,1,['ǒu']
偷,3,['tōu']
偻,0,['lóu']
偽,0,['wěi']
偾,0,['fèn']
偿,1,['cháng']
傀,0,['kuǐ']
傅,0,['fù']
傈,0,['lì']
傍,0,['bàng']
傑,0,['jié']
傕,0,['jué']
傖,0,['cāng']
傘,0,['sǎn']
備,0,['bèi']
傚,0,['xiào']
傢,0,['jiā']
傣,0,['dǎi']
傥,0,['tǎng']
傧,0,['bīn']
储,0,['chǔ']
傩,0,['nuó']
催,0,['cuī']
傭,0,['yōng']
傯,0,['zǒng']
傲,0,['ào']
傳,0,['chuán']
債,0,['zhài']
傷,0,['shāng']
傺,0,['chì']
傻,0,['shǎ']
傾,0,['qīng']
傿,0,['yàn']
僂,0,['lóu']
僅,0,['jǐn']
僉,0,['qiān']
像,12,['xiàng']
僑,0,['qiáo']
僕,0,['pú']
僖,0,['xī']
僚,0,['liáo']
僥,0,['jiǎo']
僦,0,['jiù']
僧,0,['sēng']
僬,0,['jiāo']
僭,0,['jiàn']
僮,0,['tóng']
僱,0,['gù']
僳,0,['sù']
僵,0,['jiāng']
價,0,['jià']
僻,0,['pì']
